Idea,Pat's Star System,Role,Description,Cheatsheet
"In the spirit of the Diversity proposal I've grouped categories by Community Roles. See cheatsheet to understand the ""key"" here!",,,---------------------------------------->,image0.jpg (https://dl.airtable.com/PeFN4sTSTTGgmEXP3Vd5_image0.jpg)
Host brainstorm session or special workshop relating to DAOs,⭐⭐,Mentor,,
Create video tutorial series around DAOstack Hacker's Kit + Arc / playing with the DAO stack generally,⭐⭐⭐⭐,Mentor,,
Expand the Hacker's Kit and maintain the repo,⭐⭐⭐,Mentor,,
Create a tutorial video introducing the principles of the DAO stack generally,⭐⭐,Mentor,,
Create explanatory GIFs,⭐⭐,Mentor,,
"Read a book / Medium article on some DAO topic and provide a report to the DAO.

",⭐,Learner,Bonus: invite the author to speak on Zoom,
"DAO sponsored internship with a designated mentor
",⭐⭐,Learner,,
Gets the DAO to pay for courses / some education and offers something in return,⭐,Learner,,
Studies and writes a Medium or school report about the DAO stack,⭐,Learner,,
Does some sort of consumer or product research around Alchemy,⭐⭐⭐,Learner,,
Independent UX/UI design audit of Alchemy,⭐⭐⭐,Back-up,,
Agrees to 'insure' another member if they are new and requesting funds,⭐⭐,Back-up,,
Independent code audit of Arc/Infra,⭐⭐⭐,Back-up,,
Creation of contingency measures or protocols based off of DAO attack vectors.,⭐⭐⭐,Back-up,,
Insurance scheme / product with curated membership,⭐⭐⭐,Back-up,Could be accomplished by integrating something like https://etherisc.com/ or https://www.nexusmutual.io/,
Invents special cheers or rituals we can do on Zoom so we can be more of a cult,⭐,Partner,If we all dabbed together we would be an invincible force for good.,
Creates dank DAOstack memes,⭐⭐⭐,Partner,,
Responsible for creatively praising or complimenting accomplishments on DAO calls,⭐,Partner,,
Creates an informational deck around Genesis that could be used by other individuals,⭐⭐⭐,Partner,,
Creates and manages a custom Genesis landing page,⭐⭐⭐,Partner,,
Creation of viral rewards program based off of Reputation tier,⭐⭐,Partner,,
"Host a DAO sports or recreation event (hiking, ultimate frisbee, etc)",⭐⭐,Partner,Having this sorts of social activities is important to any community imho,
Creates an official song anthem for the Genesis DAO,⭐⭐,Storyteller,,
Creates documentary around DAOstack or the Genesis DAO,⭐⭐⭐,Storyteller,,
Logs the DAO's activities a la Star Trek and publishes as a book,⭐⭐⭐,Storyteller,,
Creates a picture book for decentralized governance,⭐,Storyteller,,
